"兜率宫是三十三天之上，乃离恨天太上老君之处，如何错到此间？也罢，也罢！一向要来望此老，不曾得来，今趁此残步，就望他一望也好。
",sad
"既无盛会，又不传杯，汝等可跟贫僧去见玉帝。
",neutral
"万岁，这大圣不知是何处学得这护身之法，臣等刀砍斧剁，雷打火烧，一毫不能伤损，却如之何？
",angry
"圣僧，多简慢你。我是落伽山山神土地，蒙菩萨差送鞍辔与汝等的。汝等可努力西行，却莫一时怠慢。
",happy
"呆子不要说嘴！老孙把这头伸在那里，你且筑一下儿，看可能魂消气泄？
",angry
"万寿山福地，五庄观洞天
",happy
"造化，造化！菩萨一定有方也！
",happy
"奎木狼，上界有无边的胜景，你不受用，却私走一方，何也？
",angry
"贤弟好手段！两次捉了三个和尚。但孙行者虽是有山压住，也须要作个法，怎么拿他来凑蒸才好哩。
",happy
"你二位从那里来的？
",surprise
"当时我在山上，遇着那两个小妖，他曾告诵我说：不拘葫芦净瓶，把人装在里面，只消一时三刻，就化为脓了，敢莫化了我么？
",angry
"行者孙。
",neutral
"金角大王！
",happy
"师父，莫念，莫念！等我医罢！
",angry
"各要仔细，偷丹的贼又来也。
",neutral
"还不曾尝着甚么滋味就打！
",angry
"众罗汉，怎么不下砂了？
",angry
"腯泼孽畜！趁早出来受死！
",angry
"话不虚传！今日方知有此辈神仙活佛！
",surprise
