"你们请我来作什么？有什么好东西孝敬我，就快献上来，我还有事呢。
",neutral
"今儿巧，上回宝叔立刻要见的我那兄弟，他今儿也在这里，想在书房里呢，宝叔何不去瞧一瞧？""宝玉听了，即便下炕要走.尤氏凤姐都忙说：“好生着，忙什么？""一面便吩咐好生小心跟着，别委曲着他，倒比不得跟了老太太过来就罢了.凤姐说道：“既这么着，何不请进这秦小爷来，我也瞧一瞧.难道我见不得他不成？""尤氏笑道：“罢，罢！可以不必见他，比不得咱们家的孩子们，胡打海摔的惯了.人家的孩子都是斯斯的惯了，乍见了你这破落户，还被人笑话死了呢。
",neutral
"比下去了！""便探身一把携了这孩子的，就命他身傍坐了，慢慢的问他：几岁了，读什么书，弟兄几个，学名唤什么.秦钟一一答应了.早有凤姐的丫鬟媳妇们见凤姐初会秦钟，并未备得表礼来，遂忙过那边去告诉平儿.平儿知道凤姐与秦氏厚密，虽是小后生家，亦不可太俭，遂自作主意，拿了一匹尺头，两个""状元及第""的小金锞子，交付与来人送过去.凤姐犹笑说太简薄等语.秦氏等谢毕.一时吃过饭，尤氏，凤姐，秦氏等抹骨牌，不在话下.
",neutral
"要吃什么，外面有，只管要去。
",neutral
"先派两个小子送了这秦相公家去。
",neutral
"蓉哥儿，你别在焦大跟前使主子性儿.别说你这样儿的，就是你爹，你爷爷，也不敢和焦大挺腰子！不是焦大一个人，你们就做官儿享荣华受富贵？你祖宗九死一生挣下这家业，到如今了，不报我的恩，反和我充起主子来了.不和我说别的还可，若再说别的，咱们红刀子进去白刀子出来！""凤姐在车上说与贾蓉道：“以后还不早打发了这个没王法的东西！留在这里岂不是祸害？倘或亲友知道了，岂不笑话咱们这样的人家，连个王法规矩都没有。
",angry
"今日怎么没见蓉大奶奶？""尤氏说道：“他这些日子不知怎么着，经期有两个多月没来.叫大夫瞧了，又说并不是喜.那两日，到了下半天就懒待动，话也懒待说，眼神也发眩.我说他：`你且不必拘礼，早晚不必照例上来，你就好生养养罢.就是有亲戚一家儿来，有我呢.就有长辈们怪你，等我替你告诉.连蓉哥我都嘱咐了，我说：`你不许累ц他，不许招他生气，叫他静静的养养就好了.他要想什么吃，只管到我这里取来.倘或我这里没有，只管望你琏二婶子那里要去.倘或他有个好和歹，你再要娶这么一个媳妇，这么个模样儿，这么个性情的人儿，打着灯笼也没地方找去.他这为人行事，那个亲戚，那个一家的长辈不喜欢他？所以我这两日好不烦心，焦的我了不得.偏偏今日早晨他兄弟来瞧他，谁知那小孩子家不知好歹，看见他姐姐身上不大爽快，就有事也不当告诉他，别说是这么一点子小事，就是你受了一万分的委曲，也不该向他说才是.谁知他们昨儿学房里打架，不知是那里附学来的一个人欺侮了他了.里头还有些不干不净的话，都告诉了他姐姐.婶子，你是知道那媳妇的：虽则见了人有说有笑，会行事儿，他可心细，心又重，不拘听见个什么话儿，都要度量个日五夜才罢.这病就是打这个秉性上头思虑出来的.今儿听见有人欺负了他兄弟，又是恼，又是气.恼的是那群混帐狐朋狗友的扯是搬非，调惑四的那些人，气的是他兄弟不学好，不上心念书，以致如此学里吵闹.他听了这事，今日索性连早饭也没吃.我听见了，我方到他那边安慰了他一会子，又劝解了他兄弟一会子.我叫他兄弟到那边府里找宝玉去了，我才看着他吃了半盏燕窝汤，我才过来了.婶子，你说我心焦不心焦？况且如今又没个好大夫，我想到他这病上，我心里倒象针扎似的.你们知道有什么好大夫没有？
",sad
"我们这么听着，实在也没见人说有个好大夫.如今听起大奶奶这个来，定不得还是喜呢.嫂子倒别教人混治.倘或认错了，这可是了不得的。
",happy
"今日他来，有什么说的事情么？""尤氏答道：“倒没说什么.一进来的时候，脸上倒象有些着了恼的气色似的，及说了半天话，又提起媳妇这病，他倒渐渐的气色平定了.你又叫让他吃饭，他听见媳妇这么病，也不好意思只管坐着，又说了几句闲话儿就去了，倒没求什么事.如今且说媳妇这病，你到那里寻一个好大夫来与他瞧瞧要紧，可别耽误了.现今咱们家走的这群大夫，那里要得，一个个都是听着人的口气儿，人怎么说，他也添几句话儿说一遍.可倒殷勤的很，四个人一日轮流着倒有四五遍来看脉.他们大家商量着立个方子，吃了也不见效，倒弄得一日换四五遍衣裳，坐起来见大夫，其实于病人无益。
",neutral
"后日是太爷的寿日，到底怎么办？""贾珍说道：“我方才到了太爷那里去请安，兼请太爷来家来受一受一家子的礼.太爷因说道：`我是清净惯了的，我不愿意往你们那是非场去闹去.你们必定说是我的生日，要叫我去受众人些头，莫过你把我从前注的《陰骘》给我令人好好的写出来刻了，比叫我无故受众人的头还强百倍呢.倘或后日这两日一家子要来，你就在家里好好的款待他们就是了.也不必给我送什么东西来，连你后日也不必来，你要心不安，你今日就给我磕了头去.倘或后日你要来，又跟随多少人来闹我，我必和你不依.如此说了又说，后日我是再不敢去的了.且叫来升来，吩咐他预备两日的筵席。
",neutral
"奴才方才到了冯大爷家，拿了老爷的名帖请那先生去.那先生说道：`方才这里大爷也向我说了.但是今日拜了一天的客，才回到家，此时精神实在不能支持，就是去到府上也不能看脉.他说等调息一夜，明日务必到府.他又说，他`医学浅薄，本不敢当此重荐，因我们冯大爷和府上的大人既已如此说了，又不得不去，你先替我回明大人就是了.大人的名帖实不敢当.仍叫奴才拿回来了.哥儿替奴才回一声儿罢。
",sad
"高明的很.还要请教先生，这病与性命终久有妨无妨？""先生笑道：“大爷是最高明的人.人病到这个地位，非一朝一夕的症候，吃了这药也要看医缘了.依小弟看来，今年一冬是不相干的.总是过了春分，就可望全愈了。
",neutral
"老太太原是老祖宗，我父亲又是侄儿，这样日子，原不敢请他老人家，但是这个时候，天气正凉爽，满园的菊花又盛开，请老祖宗过来散散闷，看着众儿孙热闹热闹，是这个意思.谁知老祖宗又不肯赏脸。
",neutral
"前日听见你大妹妹说，蓉哥儿媳妇儿身上有些不大好，到底是怎么样？""尤氏道：“他这个病得的也奇.上月秋还跟着老太太，太太们顽了半夜，回家来好好的.到了二十后，一日比一日觉懒，也懒待吃东西，这将近有半个多月了.经期又有两个月没来。
",sad
"太太们在这里吃饭阿，还是在园子里吃去好？小戏儿现预备在园子里呢。
",neutral
"老爷们并众位叔叔哥哥兄弟们也都吃了饭了.大老爷说家里有事，二老爷是不爱听戏又怕人闹的慌，都才去了.别的一家子爷们都被琏二叔并蔷兄弟让过去听戏去了.方才南安郡王，东平郡王，西宁郡王，北静郡王四家王爷，并镇国公牛府等六家，忠靖侯史府等八家，都差人持了名帖送寿礼来，俱回了我父亲，先收在帐房里了，礼单都上上档子了.老爷的领谢的名帖都交给各来人了，各来人也都照旧例赏了，众来人都让吃了饭才去了.母亲该请二位太太，老娘，婶子都过园子里坐着去罢。
",neutral
"我回太太，我先瞧瞧蓉哥儿媳妇，我再过去。
",neutral
"你好生养着罢，我再来看你.合该你这病要好，所以前日就有人荐了这个好大夫来，再也是不怕的了。
",happy
"你们娘儿两个忒好了，见了面总舍不得来了.你明日搬来和他住着罢.你坐下，我先敬你一钟。
",happy
"你冷眼瞧媳妇是怎么样？""凤姐儿低了半日头，说道：“这实在没法儿了.你也该将一应的后事用的东西给他料理料理，冲一冲也好。
",sad
"不用忙，不相干，这是急火攻心，血不归经。
",angry
