"此阔涧一跃而过，岂非天意！
",surprise
"长安城中土硬水碱，甚不堪食，更兼无柴。今围十日，军民饥荒。不如暂且收军，只须如此如此，长安唾手可得。
",neutral
"庞德在此！
",neutral
"可先下定寨栅，然后打关未迟。
",neutral
"超曰：以侄愚意。还只拒住北岸。使彼不得渡河，乃为上策。“遂曰：贤侄守寨，吾引军循河战操，若何？“超曰：令庞德为先锋，跟叔父前去。“于是韩遂与庞德将兵五万，直抵渭南。操令众将于甬道两旁诱之。庞德先引铁骑千余，冲突而来。喊声起处，人马俱落于陷马坑内。庞德踊身一跳。跃出土坑，立于平地，立杀数人，步行砍出重围。韩遂已被困在垓心，庞德步行救之。正遇着曹仁部将曹永，被庞德一刀砍于马下，夺其马，杀开一条血路，救出韩遂，投东南而走。背后曹兵赶来，马超引军接应，杀败曹兵，复救出大半军马。战至日暮方回。计点人马，折了将佐程银、张横，陷坑中死者二百余人。超与韩遂商议：“若迁延日久，操于河北立了营寨，难以退敌；不若乘今夜引轻骑去劫野营。
",neutral
"贼欺我未立寨棚，必来劫野营。可四散伏兵，虚其中军。号炮响时，伏兵尽起，一鼓可擒也。
",neutral
"可取渭河沙土筑起土城，可以坚守。
",neutral
"虎痴快出！
",happy
"这事如何解释？
",neutral
"叛君无义之贼！
",angry
"阜无捍难之功，又无死难之节，于法当诛，何颜受职？
",angry
"超感主公之恩，无可上报，愿领一军攻取葭萌关，生擒刘备，务要刘璋割二十州奉还主公。“张鲁大喜，先遣黄权从小路而回，随即点兵二万与马超。此时庞德卧病不能行，留于汉中。张鲁令杨柏监军，超与弟马岱选日起程。
",neutral
"某曾谏杨昂，休追操兵。他不肯听信，故有此败。任再乞一军前去挑战，必斩曹操。如不胜，甘当军令。
",neutral
"庞德乃西凉勇将，原属马超；今虽依张鲁，未称其心。吾欲得此人。汝等须皆与缓斗，使其力乏，然后擒之。
",neutral
"打发来人先回，便连夜入见张鲁，说庞德受了曹操贿赂，卖此一阵。张鲁大怒，唤庞德责骂，欲斩之。阎圃苦谏。张鲁曰：你来日出战，不胜必斩！“庞德抱恨而退。次日，曹兵攻城，庞德引兵冲出。操令许褚交战。褚诈败，庞德赶来。操自乘马于山坡上唤曰：庞令明何不早降？“庞德寻思：拿住曹操，抵一千员上将！“遂飞马上坡。
",neutral
"放火尽烧仓廪府库，出奔南山，去守巴中可也。
",neutral
"统愿敌张辽。
",neutral
