"叔言汝中风，今已愈乎？
",surprise
"彼用妖术，我来日可宰猪羊狗血，令军士伏于山头；候贼赶来，从高坡上泼之，其法可解。
",neutral
"皇甫嵩大获胜捷，朝廷以董卓屡败，命嵩代之。嵩到时，张角已死；张梁统其众，与我军相拒，被皇甫嵩连胜七阵，斩张梁于曲阳。发张角之棺，戮尸枭首，送往京师。余众俱降。朝廷加皇甫嵩为车骑将军，领冀州牧。皇甫嵩又表奏卢植有功无罪，朝廷复卢植原官。曹操亦以有功，除济南相，即日将班师赴任。
",neutral
"汝小辈安知朝廷大事！
",angry
"张让、段珪等流言于外，言公鸩杀董后，欲谋大事。乘此时不诛阉宦，后必为大祸。昔窦武欲诛内竖，机谋不密，反受其殃。今公兄弟部曲将吏，皆英俊之士；若使尽力，事在掌握。此天赞之时，不可失也。
",neutral
"宦官之祸，古今皆有；但世主不当假之权宠，使至于此。若欲治罪，当除元恶，但付一狱吏足矣，何必纷纷召外兵乎？欲尽诛之，事必宣露。吾料其必败也。
",angry
"太后诏我，有何祸事？
",angry
"请将军上车！
",happy
"段珪逆贼，安敢劫太后！
",angry
"卓贼欺天废主，人不忍言；而公恣其跋扈，如不听闻，岂报国效忠之臣哉？绍今集兵练卒，欲扫清王室，未敢轻动。公若有心，当乘间图之。如有驱使，即当奉命。
",angry
"丞相何在？
",sad
"适来曹操似有行刺之状，及被喝破，故推献刀。
",neutral
"操无妻小在京，只独居寓所。今差人往召，如彼无疑而便来，则是献刀；如推托不来，则必是行刺，便可擒而问也。
",neutral
"我是客商，覆姓皇甫。
",neutral
"吾姓陈，名宫，字公台。老母妻子，皆在东郡。今感公忠义，愿弃一官，从公而逃。
",neutral
"我将谓曹操是好人，弃官跟他；原来是个狼心之徒！今日留之，必为后患。
",angry
"我为国家跟他到此，杀之不义。不若弃而他往。
",sad
"操等谨以大义布告天下：董卓欺天罔地，灭国弑君；秽乱宫禁，残害生灵；狼戾不仁，罪恶充积！今奉天子密诏，大集义兵，誓欲扫清华夏，剿戮群凶。望兴义师，共泄公愤；扶持王室，拯救黎民。檄文到日，可速奉行！
",neutral
"贤弟何故在此？
",neutral
"此吾自幼同舍兄弟，平原令刘备是也。
",neutral
"吾有上将潘凤，可斩华雄。
",neutral
"使一弓手出战，必被华雄所笑。
",neutral
"吕布搦战。
",neutral
"三姓家奴休走！燕人张飞在此！
",angry
"今董贼西去，正可乘势追袭；本初按兵不动，何也？
",neutral
"丞相新弃洛阳，防有追兵。可教徐荣伏军荥阳城外山坞之旁，若有兵追来，可竟放过；待我这里杀败，然后截住掩杀。令后来者不敢复追。
",neutral
"帝星不明，贼臣乱国，万民涂炭，京城一空！
",sad
"吾始兴大义，为国除贼。诸公既仗义而来，操之初意，欲烦本初引河内之众，临孟津、酸枣；诸将固守成皋，据敖仓，塞轘辕、太谷，制其险要；公路率南阳之军，驻丹、析，入武关，以震三辅。皆深沟高垒，勿与战，益为疑兵，示天下形势。以顺诛逆，可立定也。今迟疑不进，大失天下之望。操窃耻之！
",neutral
"目今人心未宁，频动干戈，深为不便；不若设一宴，请张济、樊稠庆功，就席间擒稠斩之，毫不费力。
",neutral
"此乃陈留人，姓典，名韦，勇力过人。旧跟张邈，与帐下人不和，手杀数十人，逃窜山中。惇出射猎，见韦逐虎过涧，因收于军中。今特荐之于公。
",neutral
"我们本是黄巾余党，勉强降顺陶谦，未有好处。如今曹家辎重车辆无数，你们欲得富贵不难，只就今夜三更，大家砍将入去，把曹嵩一家杀了，取了财物，同往山中落草。此计何如？
",neutral
"我获罪于天，致使徐州之民，受此大难！
",angry
"曹兵势大难敌，吾当自缚往操营，任其剖割，以救徐州一郡百姓之命。
",neutral
"如君所言，幼时必聪明者。
",neutral
"今曹操纵兵大掠，围住徐州，特来求救。
",neutral
"平原刘玄德
",neutral
"备自关外得拜君颜，嗣后天各一方，不及趋侍。向者，尊父曹侯，实因张闿不仁，以致被害，非陶恭祖之罪也。目今黄巾遗孽，扰乱于外；董卓余党，盘踞于内。愿明公先朝廷之急，而后私仇；撤徐州之兵，以救国难：则徐州幸甚，天下幸甚！
",sad
"今天下分崩，英雄并起；君以千里之众，而反受制于人，不亦鄙乎！今曹操征东，兖州空虚；而吕布乃当世勇士，若与之共取兖州，霸业可图也。
",neutral
"吾料吕布有勇无谋，不足虑也。
",neutral
"吾与汝自来无仇，何得夺吾州郡？
",angry
"某今日上山观望，濮阳之西，吕布有一寨，约无多军。今夜彼将谓我军败走，必不准备，可引兵击之；若得寨，布军必惧：此为上策。“操从其言，带曹洪、李典、毛玠、吕虔、于禁、典韦六将，选马步二万人，连夜从小路进发。
",neutral
"西寨是个要紧去处，倘或曹操袭之，奈何？
",neutral
"谁人救我！
",sad
"濮阳城中有富户田氏，家僮千百，为一郡之巨室；可令彼密使人往操寨中下书，言‘吕温侯残暴不仁，民心大怨。今欲移兵黎阳，止有高顺在城内。可连夜进兵，我为内应’。操若来，诱之入城，四门放火，外设伏兵。曹操虽有经天纬地之才，到此安能得脱也？
",neutral
"退兵！
",angry
"曹操何在？
",neutral
"误中匹夫之计，吾必当报之！
",angry
"我乃截天夜叉何曼也！谁敢与我厮斗？
",angry
"吾愿取此二人，以为贽见之礼。
",neutral
"今曹兵势大，未可与争。先寻取安身之地，那时再来未迟。
",neutral
