text_a,label
不用半个时辰，便可尽取这批小鬼的性命。,neutral
杨兄，咱们再上，四面夹击，瞧她怎地,angry
这马怎地如此快法,surprise
杨兄呢,neutral
你妈妈越是骂得凶，你自是越加对我好。老太婆的唠叨是耳边风，美人的柔情却是心上事。,happy
妈，这位是耶律齐耶律大哥。,surprise
我的功夫是哥哥教的。,neutral
全真七子哪里来这个怪规矩了这少年武功人才两臻佳妙，为甚么说不得,angry
去年和他初会，事过后也便忘了，哪知这人的武功竟如此了得。妈妈和他相对大笑，却又不知笑些甚么,happy
武氏父子既去，那三个年轻人多半也会随去，凭空多了几个强助，岂不是妙,neutral
师父，弟子磕头，您老人家万福金安。,happy
是敌人来了当真妙不可言，来来来，咱们下去杀他个落花流水。,happy
郭伯母你在这儿留守，小侄随武伯父一同前往。,neutral
你识水性么,neutral
若非得她引路，焉能想到这溪底居然别有天地,surprise
此处已是古墓中心，咱们少憩片刻，这便找杨过去。,neutral
我双手各有一把冰魄银针，你们三个姓武的，怎不过来尝尝滋味,angry
咦,neutral
不好,angry
怎么办咱们不是要活活的闷死在这儿么,angry
我,neutral
你听，甚么声音,neutral
若不是小郭姑娘饿了大哭，只怕咱们都要死在那间石室里了。,sad
哼，咱们这儿五个人，刚好有五口棺材,neutral
即以其人之道，还治其人之身,neutral
啊哟,surprise
我妹子给他抢去啦。,angry
有鬼,neutral
武叔叔，你在这里，我在那边。僵尸若是出来，咱们四掌齐施，打他个筋折骨断。,neutral
不好,angry
嘿嘿,happy
李莫愁,neutral
妈，妈,happy
李莫愁，你今日恶贯满盈，不必多费口舌、徒自强辩了。,neutral
难道郭靖也来了吗妙极，妙极,happy
郭姑娘，别跟她多说了。,fear
狗咬吕洞宾，将来有得苦头给你吃的。,angry
你也疑心我不是爹爹、妈妈的亲生女儿,angry
他自然疑心啊，否则何以要你快走,surprise
不把你另一只脚也斩跛了，我不姓郭。,angry
我劝你们别吵，自己怎会也来争吵耶律兄，你也来劝劝郭姑娘罢,angry
喂，这位姑娘，你把我的兵刃踏在地下干么,angry
你说她武功好吗,surprise
我劝你不可轻敌，要你留神，那是帮你呢。,happy
啊哟，快瞧瞧去。,happy
莫非芙儿终究还是为掌力所伤,sad
妈妈,happy
快弄死这孩儿,angry
啊哟，小孩儿给这和尚弄死了。,angry
妈，我还道你当真发了疯呢,angry
这里除了黄蓉母女三人，其余的我可不究擅自闯谷之罪，一齐给我走罢,neutral
敦儒兄，拉住这边。,neutral
咱们快上去帮手,happy
师父，你老人家好本事，快把蜜蜂群收了罢,happy
过去瞧瞧。,neutral
杨大哥，我下去。你信得过我么,neutral
大英雄,happy
妹妹快来,happy
女孩儿家若不严加管教，日后只有害了她自己。襄儿从小便古古怪怪，令人莫测高深。你做姊夫的，也得代我多操一番心才是呢。,neutral
芙妹，二妹，你们在庙里么,neutral
谁说外公来了,surprise
二妹身后定有高人暗中相助。我想当世有这功夫的，除了岳父之外，只有咱们外公、我恩师、一灯大师以及金轮法王他们五人。法王是蒙古国师，自不会和尼摩星为敌，一灯大师轻易不开杀戒，因此我猜不是外公，便是恩师了。二妹，你说助你的是谁,neutral
别怕，用暗器打他,neutral
这等功力，委实令人钦服。,happy
幸亏我没贸然上台，否则岂不是自献其丑人家这般的内力外功，我便是再练十年，也未必是他二人的对手。,happy
着,neutral
不好：杨过自称神雕大侠，这只穷凶恶极的大鸟，必定便是甚么神雕了。神雕既来，杨过也必就在左近，他倘苦来抢帮主他倘若来抢帮主,neutral
老头子可真的老胡涂啦，这一欢喜，竟把眼前的大事抛到了脑后。,angry
无德无能,angry
不敢请说便是。,neutral
先君楚材公被蒙古皇后下毒害死，先兄耶律晋为当今蒙古皇帝所杀，小可与蒙古暴君，实有不共戴天之仇。,neutral
这何师我从哪里偷偷学了这一身功夫来啦,surprise
不知何兄有何高见，要请指教。,neutral
小人第二件不明白之事，是要请问：鲁帮主的大仇到底报是不报,neutral
第一，打狗棒尚未夺回。第二，杀害前帮主的凶手还没找到。这两件大事未办，便想做帮主啦，未免太性急了些罢,neutral
小弟才疏学浅，原不敢担当帮主的重任。何兄肯予赐教，那好得很。,happy
好说，好说。,happy
深藏若虚,neutral
最近十一二年来，才偶尔在丐帮名册之中，见到何师我因积劳而逐步上升，从没听人称道过他的武功。但瞧他身手，决非最近得逢奇遇这才功力猛进。他在帮中一直隐晦不露，难道为的便是今天么,sad
点燃火把,neutral
大风袖,neutral
点到为止,neutral
他便是以智取胜，也是胜了。何况纵然各拼武功，我也未必能赢。,neutral
何兄勿慌，我来助你,happy
这人只是神雕侠手下的一名走卒，已然如此了得。那神雕侠叱咤号令，驱使得动这许多高手，他自己更不知是何等人物,happy
朱伯伯，你说谁是谁了,angry
岳父岳母，鞑子猛攻不退，小婿开城出去冲杀一阵。,neutral
万岁万岁,happy
北方玄陵七气，属水。由黄蓉统军，领兵八千。此路兵中一千人卫护主将，其余七千人编为七队，分由耶律齐、梁长老、郭芙、及丐帮诸长老、诸弟子统率。上应玄武七宿，是为斗木蓢、牛金羊、女土蝠、虚日鼠、危月燕、室火猪、壁水獐七星。,neutral
岳母，你到阵后休息，我便性命不保，也要救襄妹出来。,happy
射上去给过儿,neutral
耶律兄，快向上跳,happy
杨兄弟，多谢你相救，只是我尚有部属被围，义不能独生，我要跟他们死在一起。,happy
此生得与龙儿重会，老天爷实在待我至厚，今日便是死了，也已无憾。男几汉大丈夫为国战死沙场，正是最好的归宿。,happy
大伙儿一齐去,happy
姨太太带了哥儿姐儿，合家进京，正在门外下车。,neutral
