text_a	label	"text_a	label	""text_a	label	""""text_a	label	""""""""text_a	label	""""""""""""""""text_a	label"""""""""""""""""""""""""""""""
"你还先走，带我们进去，进去！
"	angry	
"大王何为烦恼？
"	neutral	
"小的们，替我折些枯松，编作筏子，取个竹竿作篙，收拾些果品之类，我将去也。
"	neutral	
"神仙原来藏在这里！
"	surprise	
"灵台方寸山，斜月三星洞
"	neutral	
"师父，师父！我弟子志心朝礼，志心朝礼！
"	happy	
"孩儿们，我来了也！
"	happy	
"休走！借你口中言，传我心内事。我乃正南方花果山水帘洞洞主。你家甚么混世鸟魔，屡次欺我儿孙，我特寻来，要与他见个上下！
"	angry	
"我等在此恐作耍成真，或惊动人王，或有禽王、兽王认此犯头，说我们操兵造反，兴师来相杀，汝等都是竹竿木刀，如何对敌？须得锋利剑戟方可。如今奈何？
"	neutral	
"小的们，都来领兵器！
"	happy	
"汝等弓弩熟谙，兵器精通，奈我这口刀着实榔槺，不遂我意，奈何？
"	sad	
"孙悟空
"	neutral	
"我乃天差天使，有圣旨在此，请你大王上界。快快报知！
"	neutral	
"这个金星老儿乃奸诈之徒！既请老孙，如何教人动刀动枪，阻塞门路？
"	angry	
"臣领圣旨，已宣妖仙到了。
"	neutral	
"大王，门外有两个独角鬼王，要见大王。
"	neutral	
"开路！
"	happy	
"又一个爷爷来了。
"	happy	
"圣僧，多简慢你。我是落伽山山神土地，蒙菩萨差送鞍辔与汝等的。汝等可努力西行，却莫一时怠慢。
"	happy	
"大圣爷爷！今日来家了？
"	surprise	
"有妖怪，有妖怪！把我戳了一枪去了！嘴上好不疼呀！
"	angry	
"大王赶那两个和尚到那方来？
"	angry	
"变！
"	neutral	
"正是流泪眼逢流泪眼，断肠人遇断肠人！这一个妇人，不知所哭何事，待我问他一问。
"	sad	
		"大圣，山神土地来见。
	neutral	"
		"兄弟们放心，再不须思念，师父决不伤生，妖精与老孙有亲。
	happy	"
		"樵哥，问讯了。
	neutral	"
		"又是冤家了！当年伏了红孩儿，说是这厮养的。前在那解阳山破儿洞遇他叔子，尚且不肯与水，要作报仇之意，今又遇他父母，怎生借得这扇子耶？
	angry	"
		"奶奶，洞门外有个东土来的孙悟空和尚，要见奶奶，拜求芭蕉扇，过火焰山一用。
	neutral	"
		"孙悟空何在？
	neutral	"
		"前年来请菩萨去降黄风怪的那个毛脸大圣又来了。
	angry	"
		"开门，开门！老孙来借扇子使使哩！
	angry	"
		"渴了，渴了！快拿茶来！
	angry	"
		"你才认得叔叔么？我看牛大哥情上，且饶你性命，快将扇子拿来我使使。
	neutral	"
		"师父，师兄来了！来了！
	happy	"
		"大圣不须烦恼，且来吃些斋饭再议。
	neutral	"
		"你且说，早寻大力王何故？
	neutral	"
		"既蒙宽恩，感谢不尽，但有一事奉渎，万望周济周济。
	happy	"
		"蟹介士初入瑶宫不知王礼，望尊公饶他去罢。
	neutral	"
		"开门！
	happy	"
		"牛王
	neutral	"
		"可惜，可惜！夫人错了，怎么就把这宝贝与那猢狲？恼杀我也！
	angry	"
		"夫人，真扇子收在那里？早晚仔细。但恐孙行者变化多端，却又来骗去。
	neutral	"
		"罗刹女！你看看我可是你亲老公！就把我缠了这许多丑勾当！不羞，不羞！
	angry	"
		"夫人，孙悟空那厢去了？
	surprise	"
		"兄弟，你往那里去？
	angry	"
		"泼猢狲！认得我么？
	surprise	"
		"天蓬还不上前怎的？
	angry	"
		"这厮骁勇！自昨日申时前后，与老孙战起，直到今夜，未定输赢，却得你两个来接力。如此苦斗半日一夜，他更不见劳困。才这一伙小妖，却又莽壮。他将洞门紧闭不出，如之奈何？
	happy	"
		"那摩云洞事体如何？
	neutral	"
		"爷爷！不知甚人把前门都打坏了！
	angry	"
		"夫人，将扇子出来，救我性命！
	fear	"
		"那罗刹，你不走路，还立在此等甚？
	angry	"
		"		""你若从我，万事皆休；若不从时，一刀两断！"
		"	angry	"""
		"		""今洪江口不知甚人把一个读书士子打死，将尸撇在水底。"
		"	neutral	"""
		"		""你这秀才，姓甚名谁？何方人氏？因甚到此，被人打死？"
		"	angry	"""
		"		""学生到此，全赖诸公大力匡持。"
		"	happy	"""
